06 06 2017, 0.00 ,23.85
07 06 2017, 0.00 ,34.18
08 06 2017, 1.08 ,28.97
09 06 2017, 0.00 ,12.30
10 06 2017, 0.00 ,16.18
11 06 2017, 0.00 ,20.53
12 06 2017, 75.37 ,26.99
13 06 2017, 0.00 ,20.87
14 06 2017, 0.00 ,20.68
15 06 2017, 0.00 ,38.44
16 06 2017, 591.86 ,45.79
17 06 2017, 296.08 ,29.75
18 06 2017, 146.78 ,26.40
19 06 2017, 183.56 ,27.81
20 06 2017, 66.90 ,25.56
21 06 2017, 0.00 ,21.27
22 06 2017, 0.00 ,20.30
23 06 2017, 0.00 ,23.67
24 06 2017, 0.00 ,28.70
25 06 2017, 0.00 ,30.58
26 06 2017, 440.13 ,31.10
27 06 2017, 0.00 ,30.19
28 06 2017, 217.79 ,21.31
29 06 2017, 13.27 ,32.10
30 06 2017, 0.00 ,26.20
01 07 2017, 886.73 ,29.17
02 07 2017, 0.00 ,35.45
03 07 2017, 564.56 ,22.24
04 07 2017, 252.82 ,25.28
05 07 2017, 0.00 ,19.33
06 07 2017, 0.00 ,18.16
07 07 2017, 0.00 ,24.23
08 07 2017, 0.00 ,23.45
09 07 2017, 0.00 ,25.97
10 07 2017, 0.00 ,39.38
11 07 2017, 18.98 ,26.73
12 07 2017, 2.99 ,20.85
13 07 2017, 0.00 ,23.97
14 07 2017, 331.51 ,22.98
15 07 2017, 29.22 ,29.67
16 07 2017, 621.17 ,31.05
17 07 2017, 66.12 ,21.80
18 07 2017, 214.31 ,28.03
19 07 2017, 0.00 ,23.72
20 07 2017, 0.00 ,23.58
21 07 2017, 0.00 ,23.96
22 07 2017, 0.00 ,24.38
23 07 2017, 825.22 ,33.05
24 07 2017, 0.19 ,21.70
25 07 2017, 30.14 ,21.39
26 07 2017, 232.44 ,24.94
27 07 2017, 48.82 ,19.60
28 07 2017, 22.11 ,36.28
29 07 2017, 0.00 ,28.92
30 07 2017, 0.00 ,28.71
31 07 2017, 0.00 ,29.86
01 08 2017, 850.98 ,28.86
02 08 2017, 0.00 ,28.32
03 08 2017, 0.00 ,22.63
04 08 2017, 0.00 ,32.99
05 08 2017, 0.00 ,28.44
06 08 2017, 0.00 ,25.68
07 08 2017, 0.00 ,26.13
08 08 2017, 1192.90 ,29.97
09 08 2017, 55.80 ,22.80
10 08 2017, 0.00 ,20.96
11 08 2017, 0.00 ,21.63
12 08 2017, 0.00 ,22.72
13 08 2017, 50.22 ,25.80
14 08 2017, 1.24 ,21.85
15 08 2017, 252.62 ,26.32
16 08 2017, 357.08 ,21.28
17 08 2017, 421.11 ,27.47
18 08 2017, 1363.99 ,31.98
19 08 2017, 0.00 ,18.45
20 08 2017, 0.00 ,27.98
21 08 2017, 166.66 ,38.20
22 08 2017, 200.74 ,28.07
23 08 2017, 0.00 ,16.51
24 08 2017, 0.00 ,19.93
25 08 2017, 0.00 ,18.38
26 08 2017, 0.00 ,19.57
27 08 2017, 0.00 ,16.34
28 08 2017, 0.00 ,19.23
29 08 2017, 1553.83 ,33.70
30 08 2017, 1880.85 ,30.89
31 08 2017, 0.00 ,15.48
01 09 2017, 0.00 ,22.18
02 09 2017, 444.81 ,37.49
03 09 2017, 701.47 ,32.77
04 09 2017, 193.40 ,36.53
05 09 2017, 0.00 ,18.45
06 09 2017, 0.00 ,18.08
07 09 2017, 2.07 ,29.76
08 09 2017, 1006.06 ,33.87
09 09 2017, 0.00 ,40.17
10 09 2017, 611.49 ,26.16
11 09 2017, 1710.29 ,38.15
12 09 2017, 27.76 ,35.42
13 09 2017, 1.60 ,26.50
14 09 2017, 18.03 ,23.28
15 09 2017, 0.00 ,21.63
16 09 2017, 171.92 ,24.67
17 09 2017, 978.37 ,31.45
18 09 2017, 20.19 ,22.59
19 09 2017, 0.00 ,20.13
20 09 2017, 0.00 ,16.72
21 09 2017, 0.00 ,19.91
22 09 2017, 1.58 ,17.32
23 09 2017, 0.00 ,18.80
24 09 2017, 0.00 ,21.69
25 09 2017, 141.12 ,30.14
26 09 2017, 498.09 ,25.77
27 09 2017, 123.58 ,25.07
28 09 2017, 466.29 ,30.51
29 09 2017, 1124.31 ,28.79
30 09 2017, 397.91 ,30.34
01 10 2017, 39.13 ,26.80
02 10 2017, 59.79 ,28.17
04 10 2017, 0.00 ,21.38
05 10 2017, 0.00 ,22.13
06 10 2017, 92.07 ,27.83
07 10 2017, 159.17 ,28.78
08 10 2017, 0.00 ,13.21
09 10 2017, 0.00 ,18.13
10 10 2017, 0.00 ,18.59
11 10 2017, 152.82 ,25.78
12 10 2017, 25.75 ,20.38
13 10 2017, 0.00 ,19.60
14 10 2017, 0.64 ,18.96
15 10 2017, 0.00 ,19.19
