01 01 2017, 1.64 ,9.23
02 01 2017, 0.00 ,7.39
03 01 2017, 26.06 ,15.78
04 01 2017, 2.46 ,13.57
05 01 2017, 0.87 ,16.56
06 01 2017, 43.28 ,7.40
07 01 2017, 56.21 ,5.25
08 01 2017, 5.46 ,4.59
09 01 2017, 0.00 ,3.41
10 01 2017, 0.00 ,6.82
11 01 2017, 0.00 ,8.26
12 01 2017, 0.00 ,10.38
13 01 2017, 0.14 ,20.74
14 01 2017, 0.00 ,5.89
15 01 2017, 0.00 ,6.39
16 01 2017, 312.43 ,12.02
17 01 2017, 0.89 ,13.61
18 01 2017, 0.00 ,12.95
19 01 2017, 93.42 ,14.67
20 01 2017, 25.35 ,14.35
21 01 2017, 48.10 ,14.85
22 01 2017, 11.91 ,16.07
23 01 2017, 0.00 ,13.17
24 01 2017, 0.00 ,15.67
25 01 2017, 0.00 ,12.17
26 01 2017, 0.00 ,13.62
27 01 2017, 6.60 ,8.61
28 01 2017, 0.08 ,8.72
29 01 2017, 7.11 ,12.98
30 01 2017, 3.29 ,15.38
31 01 2017, 0.00 ,9.63
01 02 2017, 0.14 ,19.09
02 02 2017, 5.21 ,19.58
03 02 2017, 44.60 ,17.79
04 02 2017, 49.57 ,17.91
05 02 2017, 146.85 ,23.49
06 02 2017, 51.35 ,15.60
07 02 2017, 12.27 ,15.39
08 02 2017, 0.00 ,12.68
09 02 2017, 94.40 ,19.33
10 02 2017, 0.00 ,17.16
11 02 2017, 0.00 ,13.13
12 02 2017, 24.27 ,15.84
13 02 2017, 45.99 ,18.12
14 02 2017, 0.00 ,6.45
15 02 2017, 2.74 ,13.81
16 02 2017, 0.00 ,10.46
17 02 2017, 0.00 ,10.46
18 02 2017, 85.06 ,14.00
19 02 2017, 11.01 ,10.25
20 02 2017, 0.13 ,9.49
21 02 2017, 0.00 ,8.32
22 02 2017, 0.00 ,15.14
23 02 2017, 0.00 ,14.65
24 02 2017, 0.00 ,20.19
25 02 2017, 0.12 ,24.27
26 02 2017, 0.00 ,21.99
27 02 2017, 1.70 ,20.17
28 02 2017, 9.73 ,17.51
01 03 2017, 103.68 ,20.01
02 03 2017, 0.00 ,12.15
03 03 2017, 0.00 ,14.81
04 03 2017, 0.00 ,11.39
05 03 2017, 0.00 ,18.77
06 03 2017, 24.74 ,15.93
07 03 2017, 154.96 ,15.72
08 03 2017, 26.55 ,18.94
09 03 2017, 35.79 ,14.57
10 03 2017, 544.48 ,16.50
11 03 2017, 6.39 ,12.99
12 03 2017, 15.76 ,11.37
13 03 2017, 5.14 ,10.06
14 03 2017, 39.66 ,12.13
15 03 2017, 18.05 ,11.17
16 03 2017, 53.32 ,10.80
17 03 2017, 0.00 ,10.28
18 03 2017, 0.00 ,11.98
19 03 2017, 0.00 ,15.61
20 03 2017, 0.00 ,21.10
21 03 2017, 0.00 ,21.06
22 03 2017, 92.99 ,18.32
23 03 2017, 0.00 ,16.65
24 03 2017, 0.00 ,13.89
25 03 2017, 0.00 ,12.62
26 03 2017, 3.60 ,16.79
27 03 2017, 0.00 ,16.29
28 03 2017, 0.00 ,11.54
29 03 2017, 0.00 ,11.35
