   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   49.9  20342  -63.7  -89.7      2   0.00    265     40  493.2  493.2  493.2
   48.0  20577  -64.6  -90.0      2   0.00    255     33  496.6  496.6  496.6
   39.2  21804  -69.3  -91.3      3   0.00    271     50  514.3  514.3  514.3
   37.0  22152  -67.4  -90.8      2   0.00    275     55  527.7  527.8  527.7
   36.0  22317  -66.5  -90.6      2   0.00    285     50  534.2  534.2  534.2
   34.7  22539  -65.3  -90.3      2   0.00    279     47  543.0  543.0  543.0
   33.0  22843  -66.3  -90.9      2   0.00    270     42  548.2  548.2  548.2
   30.8  23261  -67.7  -91.7      2   0.00    266     49  555.3  555.4  555.3
   30.0  23420  -66.5  -91.5      2   0.00    265     51  562.8  562.8  562.8
   28.0  23840  -65.5  -91.2      2   0.00    250     46  576.9  576.9  576.9
   24.9  24554  -63.7  -90.7      1   0.00    262     50  601.6  601.6  601.6
   23.7  24855  -66.3  -91.3      2   0.00    267     52  602.6  602.6  602.6
   23.0  25038  -65.1  -90.9      2   0.00    270     53  611.3  611.4  611.3
   22.0  25309  -63.3  -90.3      1   0.01    267     60  624.5  624.5  624.5
   20.0  25890  -66.1  -91.1      2   0.00    260     76  633.1  633.2  633.1
   18.9  26232  -67.5  -91.5      2   0.00    263     80  639.1  639.1  639.1
   16.0  27247  -64.2  -91.2      1   0.01    270     92  680.9  681.0  680.9
   15.1  27599  -63.1  -91.1      1   0.01    268     99  696.0  696.1  696.0
   14.0  28077  -59.2  -88.9      1   0.01    265    107  724.4  724.5  724.4
   12.1  28999  -51.7  -84.7      1   0.03    259    113  781.7  782.0  781.7
   10.6  29859  -51.5  -84.5      1   0.03    253    118  812.6  813.0  812.6
   10.0  30240  -48.1  -84.1      1   0.03    250    120  838.9  839.3  838.9
    9.7  30441  -46.9  -82.9      1   0.04    250    126  850.7  851.3  850.8
    9.2  30790  -49.1  -83.1      1   0.04    250    138  855.3  855.9  855.3
    8.0  31718  -47.0  -81.8      1   0.06    250    167  898.4  899.3  898.4
    6.4  33199  -43.7  -79.7      1   0.11    255    183  971.6  973.2  971.7                
